Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,3.870000,3.940000,3.730000,3.750000,3.750000,5983300
2023-01-04,3.760000,3.820000,3.640000,3.660000,3.660000,5817700
2023-01-05,3.630000,3.730000,3.560000,3.710000,3.710000,4290400
2023-01-06,3.710000,3.930000,3.710000,3.910000,3.910000,6533800
2023-01-09,3.940000,4.030000,3.900000,3.920000,3.920000,7736900
2023-01-10,3.860000,4.000000,3.830000,3.980000,3.980000,7318600
2023-01-11,4.000000,4.040000,3.900000,3.940000,3.940000,4981300
2023-01-12,3.980000,3.980000,3.840000,3.940000,3.940000,4218400
2023-01-13,3.900000,3.960000,3.880000,3.940000,3.940000,4262200
2023-01-17,3.900000,3.960000,3.730000,3.770000,3.770000,5716000
2023-01-18,3.770000,3.860000,3.580000,3.600000,3.600000,6102800
2023-01-19,3.540000,3.700000,3.460000,3.650000,3.650000,5561600
2023-01-20,3.630000,3.840000,3.620000,3.750000,3.750000,7865400
2023-01-23,3.790000,3.900000,3.770000,3.870000,3.870000,5217800
2023-01-24,3.830000,3.920000,3.820000,3.890000,3.890000,4023100
2023-01-25,3.780000,4.050000,3.750000,3.950000,3.950000,23042600
2023-01-26,4.000000,4.050000,3.850000,3.950000,3.950000,10642700
2023-01-27,3.960000,4.180000,3.930000,4.070000,4.070000,11198000
2023-01-30,3.910000,4.280000,3.900000,4.090000,4.090000,10984100
2023-01-31,4.080000,4.200000,4.000000,4.030000,4.030000,10281700
2023-02-01,4.010000,4.170000,3.880000,4.130000,4.130000,10260100
2023-02-02,4.150000,4.300000,4.010000,4.190000,4.190000,10229900
2023-02-03,4.180000,4.220000,3.980000,4.000000,4.000000,9241400
2023-02-06,3.900000,3.950000,3.760000,3.830000,3.830000,8818300
2023-02-07,3.830000,3.890000,3.750000,3.890000,3.890000,7029100
2023-02-08,3.890000,3.920000,3.790000,3.790000,3.790000,4382800
2023-02-09,3.860000,4.100000,3.860000,3.980000,3.980000,12714900
2023-02-10,3.950000,4.040000,3.900000,4.020000,4.020000,4659500
2023-02-13,3.990000,4.030000,3.890000,3.910000,3.910000,3877100
2023-02-14,3.880000,4.020000,3.840000,3.970000,3.970000,6201100
2023-02-15,3.940000,4.040000,3.910000,4.040000,4.040000,5036200
2023-02-16,3.990000,4.100000,3.970000,3.970000,3.970000,5318500
2023-02-17,3.970000,3.980000,3.860000,3.910000,3.910000,5868500
2023-02-21,3.850000,3.880000,3.520000,3.540000,3.540000,10853900
2023-02-22,3.590000,3.640000,3.500000,3.530000,3.530000,6198400
2023-02-23,3.590000,3.630000,3.500000,3.580000,3.580000,4452800
2023-02-24,3.510000,3.590000,3.490000,3.540000,3.540000,5421800
