time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),apparent_temperature (°C),pressure_msl (hPa),surface_pressure (hPa),precipitation (mm),rain (mm),snowfall (cm),cloudcover (%),shortwave_radiation (W/m²),direct_radiation (W/m²),windspeed_10m (km/h),windspeed_100m (km/h),winddirection_10m (°),winddirection_100m (°),windgusts_10m (km/h),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_temperature_28_to_100cm (°C),soil_temperature_100_to_255cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),soil_moisture_100_to_255cm (m³/m³)
2023-01-01T00:00,13.1,68,7.3,9.7,1016.9,1003.5,0.00,0.00,0.00,11,0.0,0.0,18.1,34.3,201,207,36.4,10.7,10.1,7.5,10.1,0.381,0.391,0.392,0.331
2023-01-01T01:00,12.6,70,7.4,9.1,1017.0,1003.6,0.00,0.00,0.00,2,0.0,0.0,19.2,36.3,197,203,37.1,10.5,10.0,7.5,10.1,0.381,0.391,0.392,0.331
2023-01-01T02:00,12.4,72,7.4,8.8,1017.5,1004.1,0.00,0.00,0.00,4,0.0,0.0,20.2,37.5,202,206,39.2,10.4,10.0,7.5,10.1,0.380,0.391,0.391,0.331
2023-01-01T03:00,12.4,72,7.5,8.8,1017.5,1004.1,0.00,0.00,0.00,2,0.0,0.0,19.6,36.5,206,211,39.6,10.3,10.0,7.5,10.1,0.380,0.390,0.391,0.331
2023-01-01T04:00,12.2,72,7.4,8.6,1017.5,1004.1,0.00,0.00,0.00,18,0.0,0.0,20.0,36.7,210,215,38.9,10.2,9.9,7.6,10.1,0.380,0.390,0.391,0.331
2023-01-01T05:00,11.9,73,7.2,8.4,1018.1,1004.7,0.00,0.00,0.00,9,0.0,0.0,19.1,35.5,212,217,37.8,10.1,9.9,7.6,10.1,0.380,0.390,0.391,0.331
2023-01-01T06:00,11.7,73,6.9,8.2,1018.2,1004.7,0.00,0.00,0.00,12,0.0,0.0,18.0,34.4,209,214,37.4,9.9,9.9,7.6,10.0,0.379,0.390,0.391,0.331
2023-01-01T07:00,11.7,73,7.0,8.1,1018.9,1005.4,0.00,0.00,0.00,29,0.0,0.0,18.9,35.7,211,215,37.1,9.9,9.8,7.6,10.0,0.379,0.390,0.391,0.331
2023-01-01T08:00,11.9,72,7.1,8.4,1019.5,1006.0,0.00,0.00,0.00,68,7.0,2.0,18.9,34.6,211,216,36.7,10.0,9.8,7.6,10.0,0.379,0.390,0.391,0.331
2023-01-01T09:00,12.7,70,7.4,9.2,1019.9,1006.5,0.00,0.00,0.00,75,50.0,19.0,19.1,33.3,212,216,37.8,10.4,9.8,7.7,10.0,0.379,0.389,0.391,0.331
