time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),apparent_temperature (°C),pressure_msl (hPa),surface_pressure (hPa),precipitation (mm),rain (mm),snowfall (cm),cloudcover (%),shortwave_radiation (W/m²),direct_radiation (W/m²),windspeed_10m (km/h),windspeed_100m (km/h),winddirection_10m (°),winddirection_100m (°),windgusts_10m (km/h),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_temperature_28_to_100cm (°C),soil_temperature_100_to_255cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),soil_moisture_100_to_255cm (m³/m³)
2023-01-01T00:00,15.6,56,6.8,11.1,1014.0,1004.2,0.00,0.00,0.00,53,0.0,0.0,25.9,44.2,231,233,51.1,11.8,9.6,6.5,9.9,0.432,0.435,0.418,0.371
2023-01-01T01:00,15.4,55,6.4,10.9,1014.4,1004.6,0.00,0.00,0.00,38,0.0,0.0,24.9,43.1,233,235,49.3,11.8,9.7,6.6,9.9,0.431,0.434,0.418,0.371
2023-01-01T02:00,15.0,55,6.1,10.6,1014.6,1004.8,0.00,0.00,0.00,29,0.0,0.0,23.5,41.5,229,231,47.2,11.7,9.8,6.6,9.9,0.431,0.434,0.418,0.372
2023-01-01T03:00,14.7,56,5.9,10.3,1014.8,1005.0,0.00,0.00,0.00,24,0.0,0.0,23.2,41.0,222,225,45.0,11.5,9.8,6.6,9.9,0.430,0.434,0.418,0.372
2023-01-01T04:00,14.4,56,5.8,10.0,1014.7,1004.9,0.00,0.00,0.00,0,0.0,0.0,23.0,40.8,220,222,43.2,11.4,9.8,6.6,9.9,0.430,0.434,0.418,0.372
2023-01-01T05:00,14.0,58,5.8,9.6,1015.0,1005.2,0.00,0.00,0.00,1,0.0,0.0,23.0,41.0,220,223,42.8,11.2,9.9,6.7,9.9,0.429,0.434,0.418,0.372
2023-01-01T06:00,13.8,59,5.9,9.4,1015.5,1005.6,0.00,0.00,0.00,26,0.0,0.0,23.2,41.0,224,227,45.0,11.1,9.9,6.7,9.9,0.429,0.434,0.418,0.372
2023-01-01T07:00,13.9,60,6.2,9.6,1016.2,1006.3,0.00,0.00,0.00,30,0.0,0.0,23.4,40.9,227,230,44.3,11.1,9.9,6.7,9.9,0.428,0.434,0.418,0.372
2023-01-01T08:00,13.9,60,6.4,9.6,1016.7,1006.8,0.00,0.00,0.00,29,12.0,1.0,23.2,40.3,227,229,44.3,11.2,9.9,6.7,9.9,0.428,0.433,0.418,0.372
2023-01-01T09:00,14.1,61,6.7,9.8,1017.5,1007.6,0.00,0.00,0.00,28,66.0,9.0,23.5,40.5,230,232,45.0,11.4,10.0,6.8,9.9,0.427,0.433,0.418,0.372
2023-01-01T10:00,14.5,61,7.1,10.7,1017.7,1007.8,0.00,0.00,0.00,42,140.0,60.0,21.2,35.9,228,232,44.6,11.7,10.0,6.8,9.9,0.427,0.433,0.418,0.372
2023-01-01T11:00,14.9,61,7.5,11.1,1018.0,1008.2,0.00,0.00,0.00,68,163.0,71.0,21.2,35.9,230,232,42.1,12.1,10.1,6.8,9.9,0.426,0.433,0.418,0.372
